"","Vendedor","Data","Distância total percorrida (Em km)"
"2010","A859","2021-09-18",0
"2011","A995","2021-09-18",0
"2012","A997","2021-09-18",0
"2013","A999","2021-09-18",17.52
"2014","A001","2021-09-20",31.53
"2015","A002","2021-09-20",15.61
"2016","A003","2021-09-20",39.6
"2017","A005","2021-09-20",8.45
"2018","A007","2021-09-20",25.09
"2019","A008","2021-09-20",21.63
"2020","A009","2021-09-20",3.89
"2021","A010","2021-09-20",1.37
"2022","A011","2021-09-20",9
"2023","A012","2021-09-20",29.94
"2024","A013","2021-09-20",23.92
"2025","A014","2021-09-20",5.3
"2026","A015","2021-09-20",5.83
"2027","A016","2021-09-20",4.05
"2028","A017","2021-09-20",27.79
"2029","A018","2021-09-20",18.66
"2030","A019","2021-09-20",5.14
"2031","A020","2021-09-20",2.16
"2032","A021","2021-09-20",9.84
"2033","A036","2021-09-20",7.78
"2034","A037","2021-09-20",15.39
"2035","A038","2021-09-20",10.51
"2036","A039","2021-09-20",48.17
"2037","A041","2021-09-20",15.14
"2038","A042","2021-09-20",5.69
"2039","A043","2021-09-20",10.06
"2040","A044","2021-09-20",11.08
"2041","A046","2021-09-20",14.8
"2042","A047","2021-09-20",8.12
"2043","A048","2021-09-20",13.77
"2044","A049","2021-09-20",7.95
"2045","A051","2021-09-20",9.52
"2046","A053","2021-09-20",9.53
"2047","A054","2021-09-20",5.29
"2048","A056","2021-09-20",4.31
"2049","A057","2021-09-20",8.06
"2050","A059","2021-09-20",33.99
"2051","A060","2021-09-20",2.38
"2052","A061","2021-09-20",6.32
"2053","A062","2021-09-20",4.06
"2054","A063","2021-09-20",27.08
"2055","A064","2021-09-20",6.83
"2056","A065","2021-09-20",31.9
"2057","A066","2021-09-20",24.93
"2058","A067","2021-09-20",10.28
"2059","A068","2021-09-20",14.02
"2060","A069","2021-09-20",8.85
"2061","A070","2021-09-20",15.36
"2062","A071","2021-09-20",14.89
"2063","A073","2021-09-20",4.53
"2064","A074","2021-09-20",42.19
"2065","A075","2021-09-20",75.54
"2066","A076","2021-09-20",65.49
"2067","A077","2021-09-20",4.42
"2068","A078","2021-09-20",12.8
"2069","A079","2021-09-20",7.76
"2070","A080","2021-09-20",83.19
"2071","A081","2021-09-20",29.81
"2072","A082","2021-09-20",15.54
"2073","A083","2021-09-20",31.54
"2074","A084","2021-09-20",78.23
"2075","A095","2021-09-20",0
"2076","A098","2021-09-20",0
"2077","A099","2021-09-20",0
"2078","A170","2021-09-20",27.18
"2079","A190","2021-09-20",17.87
"2080","A192","2021-09-20",5.86
"2081","A193","2021-09-20",0
"2082","A194","2021-09-20",18.18
"2083","A195","2021-09-20",6.13
"2084","A196","2021-09-20",31.73
"2085","A209","2021-09-20",3.68
"2086","A225","2021-09-20",0
"2087","A227","2021-09-20",11.95
"2088","A230","2021-09-20",4.13
"2089","A233","2021-09-20",0
"2090","A235","2021-09-20",5.9
"2091","A243","2021-09-20",3.2
"2092","A244","2021-09-20",4.04
"2093","A252","2021-09-20",0
"2094","A253","2021-09-20",3.78
"2095","A255","2021-09-20",3.15
"2096","A287","2021-09-20",0
"2097","A302","2021-09-20",13.32
"2098","A304","2021-09-20",17.22
"2099","A305","2021-09-20",0
"2100","A306","2021-09-20",18.38
"2101","A307","2021-09-20",44.07
"2102","A334","2021-09-20",10.49
"2103","A364","2021-09-20",0
"2104","A365","2021-09-20",0
"2105","A366","2021-09-20",0
"2106","A368","2021-09-20",0
"2107","A378","2021-09-20",0
"2108","A379","2021-09-20",0
"2109","A382","2021-09-20",0
"2110","A402","2021-09-20",0
"2111","A405","2021-09-20",0
"2112","A406","2021-09-20",0
"2113","A408","2021-09-20",0
"2114","A410","2021-09-20",0
"2115","A417","2021-09-20",0
"2116","A422","2021-09-20",0
"2117","A429","2021-09-20",3.95
"2118","A431","2021-09-20",0
"2119","A432","2021-09-20",0
"2120","A433","2021-09-20",27.33
"2121","A445","2021-09-20",0
"2122","A446","2021-09-20",0
"2123","A460","2021-09-20",0
"2124","A466","2021-09-20",0
"2125","A469","2021-09-20",0
"2126","A510","2021-09-20",0
"2127","A511","2021-09-20",5.15
"2128","A544","2021-09-20",10.5
"2129","A546","2021-09-20",0
"2130","A547","2021-09-20",0
"2131","A605","2021-09-20",14.66
"2132","A606","2021-09-20",0
"2133","A611","2021-09-20",0
"2134","A613","2021-09-20",0
"2135","A614","2021-09-20",0
"2136","A674","2021-09-20",21.03
"2137","A680","2021-09-20",24.75
"2138","A711","2021-09-20",3.61
"2139","A712","2021-09-20",3.72
"2140","A713","2021-09-20",3.43
"2141","A714","2021-09-20",67.12
"2142","A715","2021-09-20",27.12
"2143","A716","2021-09-20",11.29
"2144","A717","2021-09-20",22.88
"2145","A718","2021-09-20",11.67
"2146","A720","2021-09-20",17.87
"2147","A721","2021-09-20",65.99
"2148","A722","2021-09-20",17.03
"2149","A723","2021-09-20",3.64
"2150","A724","2021-09-20",11.87
"2151","A725","2021-09-20",10.19
"2152","A727","2021-09-20",8.78
"2153","A728","2021-09-20",3.75
"2154","A729","2021-09-20",3.06
"2155","A730","2021-09-20",10.67
"2156","A732","2021-09-20",8.55
"2157","A733","2021-09-20",0
"2158","A736","2021-09-20",4.73
"2159","A738","2021-09-20",0
"2160","A739","2021-09-20",0
"2161","A740","2021-09-20",7.51
"2162","A741","2021-09-20",0
"2163","A742","2021-09-20",0
"2164","A744","2021-09-20",0
"2165","A745","2021-09-20",0
"2166","A748","2021-09-20",0
"2167","A750","2021-09-20",0
"2168","A751","2021-09-20",0
"2169","A756","2021-09-20",0
"2170","A785","2021-09-20",5.05
"2171","A786","2021-09-20",10.05
"2172","A793","2021-09-20",0
"2173","A796","2021-09-20",4.62
"2174","A797","2021-09-20",8.19
"2175","A798","2021-09-20",5.9
"2176","A801","2021-09-20",6.41
"2177","A802","2021-09-20",30.94
"2178","A804","2021-09-20",0
"2179","A838","2021-09-20",41.18
"2180","A839","2021-09-20",0
"2181","A841","2021-09-20",0
"2182","A842","2021-09-20",0
"2183","A843","2021-09-20",0
"2184","A844","2021-09-20",0
"2185","A845","2021-09-20",0
"2186","A850","2021-09-20",0
"2187","A851","2021-09-20",0
"2188","A852","2021-09-20",29.91
"2189","A853","2021-09-20",4.32
"2190","A855","2021-09-20",17.55
"2191","A856","2021-09-20",46.02
"2192","A858","2021-09-20",33.82
"2193","A859","2021-09-20",0
"2194","A995","2021-09-20",0
"2195","A997","2021-09-20",0
"2196","A999","2021-09-20",7.32
"2197","A001","2021-09-21",47.82
"2198","A002","2021-09-21",10.85
"2199","A003","2021-09-21",9.72
"2200","A005","2021-09-21",1.72
"2201","A007","2021-09-21",27.42
"2202","A008","2021-09-21",19.08
"2203","A009","2021-09-21",2.85
"2204","A010","2021-09-21",2.6
"2205","A011","2021-09-21",8.98
"2206","A012","2021-09-21",20.72
"2207","A013","2021-09-21",63.29
"2208","A014","2021-09-21",23.94
"2209","A015","2021-09-21",0
"2210","A016","2021-09-21",8.37
"2211","A017","2021-09-21",12.17
"2212","A018","2021-09-21",12.27
"2213","A019","2021-09-21",23.97
"2214","A020","2021-09-21",2.77
"2215","A021","2021-09-21",6.93
"2216","A036","2021-09-21",7.91
"2217","A037","2021-09-21",10.95
"2218","A038","2021-09-21",5.65
"2219","A039","2021-09-21",30
"2220","A041","2021-09-21",11.86
"2221","A042","2021-09-21",4.97
"2222","A043","2021-09-21",4.61
"2223","A044","2021-09-21",5.66
"2224","A046","2021-09-21",6.95
"2225","A047","2021-09-21",3.13
"2226","A048","2021-09-21",4.17
"2227","A049","2021-09-21",20.14
"2228","A051","2021-09-21",24.88
"2229","A053","2021-09-21",18.23
"2230","A054","2021-09-21",10.3
"2231","A056","2021-09-21",2.2
"2232","A057","2021-09-21",16.03
"2233","A059","2021-09-21",0
"2234","A060","2021-09-21",5.1
"2235","A061","2021-09-21",24.95
"2236","A062","2021-09-21",4.69
"2237","A063","2021-09-21",8.84
"2238","A064","2021-09-21",15.7
"2239","A065","2021-09-21",31.03
"2240","A066","2021-09-21",25.33
"2241","A067","2021-09-21",10.47
"2242","A068","2021-09-21",25.39
"2243","A069","2021-09-21",7.86
"2244","A070","2021-09-21",91.4
"2245","A071","2021-09-21",11.78
"2246","A073","2021-09-21",20.3
"2247","A074","2021-09-21",8.42
"2248","A075","2021-09-21",4.31
"2249","A076","2021-09-21",4.43
"2250","A077","2021-09-21",3.21
"2251","A078","2021-09-21",33.6
"2252","A079","2021-09-21",4.14
"2253","A080","2021-09-21",11.47
"2254","A081","2021-09-21",50.01
"2255","A082","2021-09-21",70.34
"2256","A083","2021-09-21",36.97
"2257","A084","2021-09-21",25.43
"2258","A095","2021-09-21",0
"2259","A098","2021-09-21",0
"2260","A099","2021-09-21",0
"2261","A170","2021-09-21",4.2
"2262","A190","2021-09-21",18.29
"2263","A192","2021-09-21",7.69
"2264","A193","2021-09-21",46.11
"2265","A194","2021-09-21",23.18
"2266","A195","2021-09-21",4.91
"2267","A196","2021-09-21",32.9
"2268","A209","2021-09-21",5.62
"2269","A225","2021-09-21",0
"2270","A227","2021-09-21",20.66
"2271","A230","2021-09-21",0
"2272","A233","2021-09-21",0
"2273","A235","2021-09-21",8.21
"2274","A243","2021-09-21",2.63
"2275","A244","2021-09-21",3.46
"2276","A252","2021-09-21",0
"2277","A253","2021-09-21",3.18
"2278","A255","2021-09-21",6.99
"2279","A287","2021-09-21",0
"2280","A302","2021-09-21",6.73
"2281","A304","2021-09-21",5.66
"2282","A305","2021-09-21",0
"2283","A306","2021-09-21",0
"2284","A307","2021-09-21",35.36
"2285","A334","2021-09-21",13.78
"2286","A364","2021-09-21",0
"2287","A365","2021-09-21",0
"2288","A366","2021-09-21",0
"2289","A368","2021-09-21",0
"2290","A378","2021-09-21",0
"2291","A379","2021-09-21",0
"2292","A382","2021-09-21",0
"2293","A402","2021-09-21",0
"2294","A405","2021-09-21",0
"2295","A406","2021-09-21",0
"2296","A408","2021-09-21",0
"2297","A410","2021-09-21",0
"2298","A417","2021-09-21",0
"2299","A422","2021-09-21",0
"2300","A429","2021-09-21",7.5
"2301","A431","2021-09-21",0
"2302","A432","2021-09-21",0
"2303","A433","2021-09-21",21.26
"2304","A445","2021-09-21",0
"2305","A446","2021-09-21",0
"2306","A460","2021-09-21",0
"2307","A466","2021-09-21",0
"2308","A469","2021-09-21",0
"2309","A510","2021-09-21",0
"2310","A511","2021-09-21",3.57
"2311","A544","2021-09-21",6.31
"2312","A546","2021-09-21",0
"2313","A547","2021-09-21",0
"2314","A605","2021-09-21",20.74
"2315","A606","2021-09-21",0
"2316","A611","2021-09-21",0
"2317","A613","2021-09-21",0
"2318","A614","2021-09-21",0
"2319","A674","2021-09-21",8.77
"2320","A680","2021-09-21",50.83
"2321","A711","2021-09-21",6.2
"2322","A712","2021-09-21",3.52
"2323","A713","2021-09-21",8.78
"2324","A714","2021-09-21",47.51
"2325","A715","2021-09-21",47.75
"2326","A716","2021-09-21",11.45
"2327","A717","2021-09-21",23.03
"2328","A718","2021-09-21",13.23
"2329","A720","2021-09-21",2.47
"2330","A721","2021-09-21",144.6
"2331","A722","2021-09-21",15.52
"2332","A723","2021-09-21",21.67
"2333","A724","2021-09-21",5.09
"2334","A725","2021-09-21",10.44
"2335","A727","2021-09-21",15.45
"2336","A728","2021-09-21",4.44
"2337","A729","2021-09-21",3.32
"2338","A730","2021-09-21",11.23
"2339","A732","2021-09-21",21.29
"2340","A733","2021-09-21",0
"2341","A736","2021-09-21",4.32
"2342","A738","2021-09-21",0
"2343","A739","2021-09-21",0
"2344","A740","2021-09-21",5.17
"2345","A741","2021-09-21",0
"2346","A742","2021-09-21",0
"2347","A744","2021-09-21",0
"2348","A745","2021-09-21",0
"2349","A748","2021-09-21",0
"2350","A750","2021-09-21",0
"2351","A751","2021-09-21",0
"2352","A756","2021-09-21",0
"2353","A785","2021-09-21",4.87
"2354","A786","2021-09-21",8.82
"2355","A793","2021-09-21",0
"2356","A796","2021-09-21",6.16
"2357","A797","2021-09-21",8.41
"2358","A798","2021-09-21",6.55
"2359","A801","2021-09-21",5.82
"2360","A802","2021-09-21",23.3
"2361","A804","2021-09-21",0
"2362","A838","2021-09-21",10.48
"2363","A839","2021-09-21",0
"2364","A841","2021-09-21",0
"2365","A842","2021-09-21",0
"2366","A843","2021-09-21",0
"2367","A844","2021-09-21",0
"2368","A845","2021-09-21",0
"2369","A850","2021-09-21",0
"2370","A851","2021-09-21",0
"2371","A852","2021-09-21",39.36
"2372","A853","2021-09-21",4.53
"2373","A855","2021-09-21",5.89
"2374","A856","2021-09-21",58.2
"2375","A858","2021-09-21",5.84
"2376","A859","2021-09-21",0
"2377","A995","2021-09-21",0
"2378","A997","2021-09-21",0
"2379","A999","2021-09-21",24.58
"2380","A001","2021-09-22",38.9
"2381","A002","2021-09-22",11.59
"2382","A003","2021-09-22",38.01
"2383","A005","2021-09-22",5.12
"2384","A007","2021-09-22",17.13
"2385","A008","2021-09-22",16.91
"2386","A009","2021-09-22",4.23
"2387","A010","2021-09-22",5.82
"2388","A011","2021-09-22",28.65
"2389","A012","2021-09-22",25.97
"2390","A013","2021-09-22",35.01
"2391","A014","2021-09-22",50.37
"2392","A015","2021-09-22",0
"2393","A016","2021-09-22",36.1
"2394","A017","2021-09-22",13.19
"2395","A018","2021-09-22",21.08
"2396","A019","2021-09-22",26.7
"2397","A020","2021-09-22",2.13
"2398","A021","2021-09-22",2.81
"2399","A036","2021-09-22",42.42
"2400","A037","2021-09-22",21.52
"2401","A038","2021-09-22",26.24
"2402","A039","2021-09-22",7.13
"2403","A041","2021-09-22",15.75
"2404","A042","2021-09-22",3.63
"2405","A043","2021-09-22",6.01
"2406","A044","2021-09-22",9.6
"2407","A046","2021-09-22",0
"2408","A047","2021-09-22",2.23
"2409","A048","2021-09-22",4.4
"2410","A049","2021-09-22",14.44
"2411","A051","2021-09-22",17.48
"2412","A053","2021-09-22",4.35
"2413","A054","2021-09-22",5.98
"2414","A056","2021-09-22",1.82
"2415","A057","2021-09-22",31.2
"2416","A059","2021-09-22",7.81
"2417","A060","2021-09-22",5.57
"2418","A061","2021-09-22",4.46
"2419","A062","2021-09-22",3.62
"2420","A063","2021-09-22",9.66
"2421","A064","2021-09-22",8.18
"2422","A065","2021-09-22",31.94
"2423","A066","2021-09-22",22.66
"2424","A067","2021-09-22",12.44
"2425","A068","2021-09-22",27.18
"2426","A069","2021-09-22",5.07
"2427","A070","2021-09-22",102.02
"2428","A071","2021-09-22",1.92
"2429","A073","2021-09-22",12.19
"2430","A074","2021-09-22",6.09
"2431","A075","2021-09-22",108.22
"2432","A076","2021-09-22",6.54
"2433","A077","2021-09-22",6.45
"2434","A078","2021-09-22",13.82
"2435","A079","2021-09-22",39.45
"2436","A080","2021-09-22",67.47
"2437","A081","2021-09-22",82.16
"2438","A082","2021-09-22",19.89
"2439","A083","2021-09-22",0
"2440","A084","2021-09-22",17.96
"2441","A095","2021-09-22",0
"2442","A098","2021-09-22",0
"2443","A099","2021-09-22",0
"2444","A170","2021-09-22",32.33
"2445","A190","2021-09-22",37.42
"2446","A192","2021-09-22",13.58
"2447","A193","2021-09-22",26.71
"2448","A194","2021-09-22",18.68
"2449","A195","2021-09-22",4.25
"2450","A196","2021-09-22",20.53
"2451","A209","2021-09-22",2.6
"2452","A225","2021-09-22",0
"2453","A227","2021-09-22",21.94
"2454","A230","2021-09-22",2.15
"2455","A233","2021-09-22",0
"2456","A235","2021-09-22",4.05
"2457","A243","2021-09-22",3.15
"2458","A244","2021-09-22",3.38
"2459","A252","2021-09-22",0
"2460","A253","2021-09-22",3.33
"2461","A255","2021-09-22",3.88
"2462","A287","2021-09-22",0
"2463","A302","2021-09-22",10.05
"2464","A304","2021-09-22",32.06
"2465","A305","2021-09-22",0
"2466","A306","2021-09-22",19.76
"2467","A307","2021-09-22",20.73
"2468","A334","2021-09-22",6.1
"2469","A364","2021-09-22",0
"2470","A365","2021-09-22",0
"2471","A366","2021-09-22",0
"2472","A368","2021-09-22",0
"2473","A378","2021-09-22",0
"2474","A379","2021-09-22",0
"2475","A382","2021-09-22",0
"2476","A402","2021-09-22",0
"2477","A405","2021-09-22",0
"2478","A406","2021-09-22",0
"2479","A408","2021-09-22",0
"2480","A410","2021-09-22",0
"2481","A417","2021-09-22",0
"2482","A422","2021-09-22",0
"2483","A429","2021-09-22",15.27
"2484","A431","2021-09-22",0
"2485","A432","2021-09-22",0
"2486","A433","2021-09-22",18.17
"2487","A445","2021-09-22",0
"2488","A446","2021-09-22",0
"2489","A460","2021-09-22",0
"2490","A466","2021-09-22",0
"2491","A469","2021-09-22",0
"2492","A510","2021-09-22",0
"2493","A511","2021-09-22",3.51
"2494","A544","2021-09-22",11.32
"2495","A546","2021-09-22",0
"2496","A547","2021-09-22",0
"2497","A605","2021-09-22",15.47
"2498","A606","2021-09-22",0
"2499","A611","2021-09-22",0
"2500","A613","2021-09-22",0
"2501","A614","2021-09-22",0
"2502","A674","2021-09-22",73.04
"2503","A680","2021-09-22",10.53
"2504","A711","2021-09-22",3.62
"2505","A712","2021-09-22",4.01
"2506","A713","2021-09-22",2.46
"2507","A714","2021-09-22",44.04
"2508","A715","2021-09-22",50.11
"2509","A716","2021-09-22",15.89
"2510","A717","2021-09-22",20.9
"2511","A718","2021-09-22",14.19
"2512","A720","2021-09-22",3.42
"2513","A721","2021-09-22",66.42
"2514","A722","2021-09-22",11.2
"2515","A723","2021-09-22",4.42
"2516","A724","2021-09-22",10.62
"2517","A725","2021-09-22",7.94
"2518","A727","2021-09-22",2.44
"2519","A728","2021-09-22",2.63
"2520","A729","2021-09-22",1.45
"2521","A730","2021-09-22",13.68
"2522","A732","2021-09-22",16.4
"2523","A733","2021-09-22",0
"2524","A736","2021-09-22",5.67
"2525","A738","2021-09-22",0
"2526","A739","2021-09-22",0
"2527","A740","2021-09-22",8.92
"2528","A741","2021-09-22",0
"2529","A742","2021-09-22",0
"2530","A744","2021-09-22",0
"2531","A745","2021-09-22",0
"2532","A748","2021-09-22",0
"2533","A750","2021-09-22",0
"2534","A751","2021-09-22",0
"2535","A756","2021-09-22",0
"2536","A785","2021-09-22",2.77
"2537","A786","2021-09-22",20.41
"2538","A793","2021-09-22",0
"2539","A796","2021-09-22",8.47
"2540","A797","2021-09-22",34.73
"2541","A798","2021-09-22",23.13
"2542","A801","2021-09-22",6.25
"2543","A802","2021-09-22",74.17
"2544","A804","2021-09-22",0
"2545","A838","2021-09-22",5.76
"2546","A839","2021-09-22",0
"2547","A841","2021-09-22",0
"2548","A842","2021-09-22",0
"2549","A843","2021-09-22",0
"2550","A844","2021-09-22",0
"2551","A845","2021-09-22",0
"2552","A850","2021-09-22",0
"2553","A851","2021-09-22",0
"2554","A852","2021-09-22",7.26
"2555","A853","2021-09-22",6.18
"2556","A855","2021-09-22",4.25
"2557","A856","2021-09-22",9.09
"2558","A858","2021-09-22",11.91
"2559","A859","2021-09-22",0
"2560","A995","2021-09-22",0
"2561","A997","2021-09-22",0
"2562","A999","2021-09-22",35.42
"2563","A001","2021-09-23",32.17
"2564","A002","2021-09-23",29.55
"2565","A003","2021-09-23",3.79
"2566","A005","2021-09-23",21.72
"2567","A007","2021-09-23",0
"2568","A008","2021-09-23",20.15
"2569","A009","2021-09-23",3.05
"2570","A010","2021-09-23",14.25
"2571","A011","2021-09-23",5.44
"2572","A012","2021-09-23",22.9
"2573","A013","2021-09-23",13.9
"2574","A014","2021-09-23",41.08
"2575","A015","2021-09-23",0
"2576","A016","2021-09-23",4.64
"2577","A017","2021-09-23",8.9
"2578","A018","2021-09-23",15.37
"2579","A019","2021-09-23",24.74
"2580","A020","2021-09-23",2.66
"2581","A021","2021-09-23",4.98
"2582","A036","2021-09-23",17.58
"2583","A037","2021-09-23",27.43
"2584","A038","2021-09-23",8.51
"2585","A039","2021-09-23",21.02
"2586","A041","2021-09-23",16.87
"2587","A042","2021-09-23",3.9
"2588","A043","2021-09-23",6.14
"2589","A044","2021-09-23",5.95
"2590","A046","2021-09-23",9.55
"2591","A047","2021-09-23",9.03
"2592","A048","2021-09-23",3.18
"2593","A049","2021-09-23",5.81
"2594","A051","2021-09-23",17.76
"2595","A053","2021-09-23",10.88
"2596","A054","2021-09-23",7.56
"2597","A056","2021-09-23",2.57
"2598","A057","2021-09-23",11.87
"2599","A059","2021-09-23",133.35
"2600","A060","2021-09-23",12.55
"2601","A061","2021-09-23",24.89
"2602","A062","2021-09-23",7.88
"2603","A063","2021-09-23",5.64
"2604","A064","2021-09-23",23.85
"2605","A065","2021-09-23",17.48
"2606","A066","2021-09-23",28.32
"2607","A067","2021-09-23",8.14
"2608","A068","2021-09-23",19.3
"2609","A069","2021-09-23",6.44
"2610","A070","2021-09-23",27.79
"2611","A071","2021-09-23",10.35
"2612","A073","2021-09-23",16.89
"2613","A074","2021-09-23",9.13
"2614","A075","2021-09-23",104.03
"2615","A076","2021-09-23",10.27
"2616","A077","2021-09-23",8.32
"2617","A078","2021-09-23",9.66
"2618","A079","2021-09-23",31.5
"2619","A080","2021-09-23",20.19
"2620","A081","2021-09-23",40.93
"2621","A082","2021-09-23",4.58
"2622","A083","2021-09-23",0
"2623","A084","2021-09-23",30.16
"2624","A095","2021-09-23",0
"2625","A098","2021-09-23",0
"2626","A099","2021-09-23",0
"2627","A170","2021-09-23",5.2
"2628","A190","2021-09-23",39.8
"2629","A192","2021-09-23",6.96
"2630","A193","2021-09-23",38.31
"2631","A194","2021-09-23",22.57
"2632","A195","2021-09-23",5.57
"2633","A196","2021-09-23",19.44
"2634","A209","2021-09-23",3.38
"2635","A225","2021-09-23",0
"2636","A227","2021-09-23",12.83
"2637","A230","2021-09-23",1.25
"2638","A233","2021-09-23",0
"2639","A235","2021-09-23",8.13
"2640","A243","2021-09-23",2.05
"2641","A244","2021-09-23",6.02
"2642","A252","2021-09-23",0
"2643","A253","2021-09-23",3.4
"2644","A255","2021-09-23",7.1
"2645","A287","2021-09-23",0
"2646","A302","2021-09-23",17.45
"2647","A304","2021-09-23",10.7
"2648","A305","2021-09-23",0
"2649","A306","2021-09-23",62.21
"2650","A307","2021-09-23",44.38
"2651","A334","2021-09-23",9.98
"2652","A364","2021-09-23",0
"2653","A365","2021-09-23",0
"2654","A366","2021-09-23",0
"2655","A368","2021-09-23",0
"2656","A378","2021-09-23",0
"2657","A379","2021-09-23",0
"2658","A382","2021-09-23",0
"2659","A402","2021-09-23",0
"2660","A405","2021-09-23",0
"2661","A406","2021-09-23",0
"2662","A408","2021-09-23",0
"2663","A410","2021-09-23",0
"2664","A417","2021-09-23",0
"2665","A422","2021-09-23",0
"2666","A429","2021-09-23",35.76
"2667","A431","2021-09-23",0
"2668","A432","2021-09-23",0
"2669","A433","2021-09-23",4.33
"2670","A445","2021-09-23",0
"2671","A446","2021-09-23",0
"2672","A460","2021-09-23",0
"2673","A466","2021-09-23",0
"2674","A469","2021-09-23",0
"2675","A510","2021-09-23",0
"2676","A511","2021-09-23",3.4
"2677","A544","2021-09-23",5.95
"2678","A546","2021-09-23",0
"2679","A547","2021-09-23",0
"2680","A605","2021-09-23",4.5
"2681","A606","2021-09-23",0
"2682","A611","2021-09-23",0
"2683","A613","2021-09-23",0
"2684","A614","2021-09-23",0
"2685","A674","2021-09-23",26.15
"2686","A680","2021-09-23",4.51
"2687","A711","2021-09-23",6.35
"2688","A712","2021-09-23",3.67
"2689","A713","2021-09-23",8.5
"2690","A714","2021-09-23",18.05
"2691","A715","2021-09-23",33.32
"2692","A716","2021-09-23",8.72
"2693","A717","2021-09-23",24.19
"2694","A718","2021-09-23",7.76
"2695","A720","2021-09-23",5.67
"2696","A721","2021-09-23",88.48
"2697","A722","2021-09-23",13.07
"2698","A723","2021-09-23",22.66
"2699","A724","2021-09-23",13.29
"2700","A725","2021-09-23",13.4
"2701","A727","2021-09-23",17.26
"2702","A728","2021-09-23",3.94
"2703","A729","2021-09-23",2.96
"2704","A730","2021-09-23",30.39
"2705","A732","2021-09-23",6.19
"2706","A733","2021-09-23",0
"2707","A736","2021-09-23",0.34
"2708","A738","2021-09-23",0
"2709","A739","2021-09-23",0
"2710","A740","2021-09-23",5.12
"2711","A741","2021-09-23",0
"2712","A742","2021-09-23",0
"2713","A744","2021-09-23",0
"2714","A745","2021-09-23",0
"2715","A748","2021-09-23",0
"2716","A750","2021-09-23",0
"2717","A751","2021-09-23",0
"2718","A756","2021-09-23",0
"2719","A785","2021-09-23",0.63
"2720","A786","2021-09-23",5.08
"2721","A793","2021-09-23",0
"2722","A796","2021-09-23",6.33
"2723","A797","2021-09-23",3.37
"2724","A798","2021-09-23",5.72
"2725","A801","2021-09-23",9.44
"2726","A802","2021-09-23",22.94
"2727","A804","2021-09-23",0
"2728","A838","2021-09-23",13.16
"2729","A839","2021-09-23",0
"2730","A841","2021-09-23",0
"2731","A842","2021-09-23",0
"2732","A843","2021-09-23",0
"2733","A844","2021-09-23",0
"2734","A845","2021-09-23",0
"2735","A850","2021-09-23",0
"2736","A851","2021-09-23",0
"2737","A852","2021-09-23",10.19
"2738","A853","2021-09-23",3.45
"2739","A855","2021-09-23",6.22
"2740","A856","2021-09-23",12.68
"2741","A858","2021-09-23",17.75
"2742","A859","2021-09-23",0
"2743","A995","2021-09-23",0
"2744","A997","2021-09-23",0
"2745","A999","2021-09-23",11.95
"2746","A001","2021-09-25",21.1
"2747","A002","2021-09-25",33.07
"2748","A003","2021-09-25",17.93
"2749","A005","2021-09-25",9.69
"2750","A007","2021-09-25",4.51
"2751","A008","2021-09-25",46.77
"2752","A009","2021-09-25",2.35
"2753","A010","2021-09-25",3.45
"2754","A011","2021-09-25",35.19
"2755","A012","2021-09-25",24.77
"2756","A013","2021-09-25",29.93
"2757","A014","2021-09-25",7.53
"2758","A015","2021-09-25",0
"2759","A016","2021-09-25",4.47
"2760","A017","2021-09-25",11.97
"2761","A018","2021-09-25",10.17
"2762","A019","2021-09-25",24.52
"2763","A020","2021-09-25",1.66
"2764","A021","2021-09-25",2.18
"2765","A036","2021-09-25",11.5
"2766","A037","2021-09-25",18.91
"2767","A038","2021-09-25",5.79
"2768","A039","2021-09-25",23.79
"2769","A041","2021-09-25",3.91
"2770","A042","2021-09-25",5
"2771","A043","2021-09-25",1.93
"2772","A044","2021-09-25",2.64
"2773","A046","2021-09-25",5.27
"2774","A047","2021-09-25",2.23
"2775","A048","2021-09-25",0
"2776","A049","2021-09-25",9.8
"2777","A051","2021-09-25",9.17
"2778","A053","2021-09-25",0
"2779","A054","2021-09-25",12.34
"2780","A056","2021-09-25",2.08
"2781","A057","2021-09-25",7.85
"2782","A059","2021-09-25",7.73
"2783","A060","2021-09-25",4.59
"2784","A061","2021-09-25",23.46
"2785","A062","2021-09-25",1.06
"2786","A063","2021-09-25",5.98
"2787","A064","2021-09-25",16.46
"2788","A065","2021-09-25",48.41
"2789","A066","2021-09-25",17.3
"2790","A067","2021-09-25",2.3
"2791","A068","2021-09-25",5.42
"2792","A069","2021-09-25",2.62
"2793","A070","2021-09-25",0
"2794","A071","2021-09-25",8.21
"2795","A073","2021-09-25",39.5
"2796","A074","2021-09-25",38.72
"2797","A075","2021-09-25",24.39
"2798","A076","2021-09-25",6.04
"2799","A077","2021-09-25",6.49
"2800","A078","2021-09-25",13.62
"2801","A079","2021-09-25",14.08
"2802","A080","2021-09-25",62.94
"2803","A081","2021-09-25",17.53
"2804","A082","2021-09-25",27.25
"2805","A083","2021-09-25",46.18
"2806","A084","2021-09-25",15.6
"2807","A095","2021-09-25",0
"2808","A098","2021-09-25",0
"2809","A099","2021-09-25",0
"2810","A170","2021-09-25",2.98
"2811","A190","2021-09-25",20.63
"2812","A192","2021-09-25",5.78
"2813","A193","2021-09-25",0.08
"2814","A194","2021-09-25",10.28
